类别,子类别,资源名称,用途说明,优先级,当前状态,建议来源/备注
"预制体","敌人","Enemy_Grunt","杂兵预制体","P0","缺失","EnemyBase+Grunt+Spine+Hurtbox"
"预制体","敌人","Enemy_Archer","弓手预制体","P0","缺失","EnemyBase+Archer+Spine+远程攻击"
"预制体","敌人","Enemy_Elite","精英预制体","P0","缺失","EnemyBase+Elite+Spine+大碰撞体"
"预制体","敌人","Enemy_Boss","Boss预制体","P0","缺失","EnemyBase+Boss+Spine+BossHPBar引用"
"预制体","物品","ExpCrystal","经验水晶预制体","P0","缺失","ExpCrystal+Collider2D+SpriteRenderer"
"预制体","武器","InkBolt","墨弹弹体预制体","P1","缺失","AutoWeapon+InkBoltBehaviour+SpriteRenderer"
"预制体","武器","InkSwirl","墨旋弹体预制体","P1","缺失","AutoWeapon+InkSwirlOrbit+SpriteRenderer"
"预制体","武器","InkStrike","墨柱弹体预制体","P1","缺失","AutoWeapon+InkStrikeBehaviour+SpriteRenderer"
"预制体","武器","InkSlash","墨斩弹体预制体","P1","缺失","AutoWeapon+InkSlashBehaviour+SpriteRenderer"
"预制体","UI","DamageNumber","伤害数字预制体","P0","缺失","DamageNumber+TextMeshPro+Animator"
"预制体","UI","BattleHUD","战斗HUD预制体","P0","缺失","Canvas+BattleHUD+各子UI"
"视觉特效","打击","InkHitVFX","墨迹飞溅打击特效","P0","缺失","SpriteRenderer粒子池"
"视觉特效","打击","InkSlashVFX","挥砍墨线特效","P0","缺失","程序化墨线+TrailRenderer"
"视觉特效","技能","InkSwirlVFX","墨旋环绕粒子","P1","缺失","旋转墨滴+淡入淡出"
"视觉特效","技能","InkStrikeVFX","墨柱落地墨爆","P1","缺失","柱形墨迹扩散"
"视觉特效","技能","InkBoltVFX","墨弹飞行拖尾","P1","缺失","墨滴+拖尾粒子"
"视觉特效","技能","InkSlashVFX","墨刃推进波","P1","缺失","水墨弧线推进"
"视觉特效","环境","AmbientInkVFX","场景漂浮墨点","P2","缺失","背景随机墨点飘落"
"视觉特效","UI","LevelUpVFX","升级爆发特效","P1","缺失","墨花绽放+金光"
"视觉特效","死亡","EnemyDeathVFX","敌人死亡墨迹蒸腾","P0","缺失","墨迹溶解/蒸腾"
"视觉特效","死亡","PlayerDeathVFX","玩家死亡慢动作墨迹飘散","P0","缺失","慢动作+墨迹飘散"
"字体","UI","ShuiMoFont_SDF","水墨书法标题字体TMP SDF","P0","缺失","推荐:江西拙楷/日文毛笔/方正吕建德"
"字体","UI","InkBodyFont_SDF","正文宋体字体TMP SDF","P1","缺失","推荐:思源宋体/方正书宋"
"场景","菜单","MainMenu","主菜单场景","P0","仅代码","MainMenuUI+水墨背景+BGM"
"场景","菜单","LobbyScene","大厅/选关场景","P1","仅代码","LobbyUI+存档选择+天赋树"
"场景","战斗","BattleScene","战斗场景(已有)","P0","已创建","需补水墨背景层和光照"
"环境","背景","BG_FarMountains","远景水墨山峦视差层1","P2","缺失","横屏全景淡墨渲染"
"环境","背景","BG_MidForest","中景竹林剪影视差层2","P2","缺失","水墨竹林半透明剪影"
"环境","背景","BG_NearGround","近景水墨纹理地面","P2","缺失","水墨纹理"
"环境","背景","BG_SkyGradient","宣纸色天空渐变","P2","缺失","程序化渐变或Quad纹理"
"环境","Tilemap","GroundTiles","地面瓦片水墨石板","P1","缺失","Tilemap水墨纹理"
"环境","Tilemap","WallTiles","墙壁瓦片洞穴竹墙","P1","缺失","Tilemap水墨纹理"
"配置","数据","StyleDatabase","战斗风格ScriptableObject","P1","缺失","5风格:剑/刀/印/毒/血"
"配置","数据","EnemyDatabase","敌人属性ScriptableObject","P1","缺失","杂兵/弓手/精英/Boss"
"配置","数据","ItemDatabase","升级道具ScriptableObject","P1","缺失","30+道具配置表"
"配置","输入","GameInput","InputSystem输入配置","P0","已存在","Assets/GameInput.inputactions"
